date,outlet,segments_total,regime_segments,regime_sentiment_avg,opposition_segments,opposition_sentiment_avg,critical_segments,critical_pct
2026-02-26,Venevisión,78,38,0.076,8,-0.096,7,9
2026-02-27,Venevisión,72,40,0.264,7,0.271,8,11.1
2026-02-28,Venevisión,50,24,0.183,7,0.136,1,2
2026-03-02,Venevisión,45,18,0.434,0,0,3,6.7
2026-03-03,Venevisión,33,20,0.356,4,0.25,4,12.1
2026-03-04,Venevisión,52,35,0.152,5,0.416,8,15.4
2026-03-05,Venevisión,55,34,0.304,10,0.34,7,12.7
2026-03-06,Venevisión,54,31,0.475,3,0.01,6,11.1
2026-03-07,Venevisión,43,23,0.266,3,0.407,3,7
2026-03-09,Venevisión,19,10,0.244,1,0.5,0,0
2026-03-10,Venevisión,47,28,0.176,5,0.3,4,8.5
2026-03-11,Venevisión,25,15,-0.062,5,0.236,4,16
2026-03-12,Venevisión,18,14,0.082,0,0,4,22.2
2026-03-13,Venevisión,18,13,-0.009,0,0,4,22.2
2026-03-14,Venevisión,11,6,-0.062,0,0,1,9.1
2026-03-15,Venevisión,26,9,0.083,2,0.547,3,11.5
2026-03-16,Venevisión,25,16,0.012,1,0.2,2,8
2026-03-17,Venevisión,25,9,0.084,1,0.4,2,8
2026-03-18,Venevisión,22,15,0.346,1,-0.3,2,9.1
2026-03-19,Venevisión,22,8,-0.062,3,0.616,2,9.1
2026-03-20,Venevisión,25,15,0.372,0,0,0,0
2026-03-21,Venevisión,15,11,0.19,1,-0.2,3,20
2026-03-23,Venevisión,29,11,0.035,2,0.36,2,6.9
2026-03-24,Venevisión,15,9,-0.078,1,0.5,2,13.3
2026-03-25,Venevisión,22,13,0.217,3,-0.026,1,4.5
2026-03-26,Venevisión,31,15,0.371,0,0,0,0
2026-03-27,Venevisión,25,12,0.291,1,0.4,1,4
2026-03-28,Venevisión,15,11,0.072,2,0.247,2,13.3
2026-03-30,Venevisión,15,9,0.221,1,0.4,2,13.3
2026-03-31,Venevisión,26,13,0.245,1,0.3,1,3.8
2026-04-01,Venevisión,15,6,0.114,0,0,1,6.7
2026-04-02,Venevisión,18,11,0.086,0,0,2,11.1
2026-04-03,Venevisión,21,17,0.107,4,0.287,2,9.5
2026-05-09,Venevisión,15,10,0.301,0,0,1,6.7
