date,source,product,flow,unit,value_kbd,assessment_code
2002-01-01,jodi,crude,INDPROD,kbd,3308,3
2002-02-01,jodi,crude,INDPROD,kbd,3213,3
2002-03-01,jodi,crude,INDPROD,kbd,3095,3
2002-04-01,jodi,crude,INDPROD,kbd,2577,3
2002-05-01,jodi,crude,INDPROD,kbd,2697,3
2002-06-01,jodi,crude,INDPROD,kbd,3079,3
2002-07-01,jodi,crude,INDPROD,kbd,3129,3
2002-08-01,jodi,crude,INDPROD,kbd,3281,3
2002-09-01,jodi,crude,INDPROD,kbd,3318,3
2002-10-01,jodi,crude,INDPROD,kbd,3284,3
2002-11-01,jodi,crude,INDPROD,kbd,3280,3
2002-12-01,jodi,crude,INDPROD,kbd,1202,3
2003-01-01,jodi,crude,INDPROD,kbd,737,3
2003-02-01,jodi,crude,INDPROD,kbd,1841,3
2003-03-01,jodi,crude,INDPROD,kbd,2795,3
2003-04-01,jodi,crude,INDPROD,kbd,2997,3
2003-05-01,jodi,crude,INDPROD,kbd,3040,3
2003-06-01,jodi,crude,INDPROD,kbd,3070,3
2003-07-01,jodi,crude,INDPROD,kbd,3059,3
2003-08-01,jodi,crude,INDPROD,kbd,3031,3
2003-09-01,jodi,crude,INDPROD,kbd,3005,3
2003-10-01,jodi,crude,INDPROD,kbd,3058,3
2003-11-01,jodi,crude,INDPROD,kbd,3012,3
2003-12-01,jodi,crude,INDPROD,kbd,3023,3
2004-01-01,jodi,crude,INDPROD,kbd,2906,3
2004-02-01,jodi,crude,INDPROD,kbd,2959,3
2004-03-01,jodi,crude,INDPROD,kbd,2968,3
2004-04-01,jodi,crude,INDPROD,kbd,2971,3
2004-05-01,jodi,crude,INDPROD,kbd,2979,3
2004-06-01,jodi,crude,INDPROD,kbd,2995,3
2004-07-01,jodi,crude,INDPROD,kbd,3021,3
2004-08-01,jodi,crude,INDPROD,kbd,3019,3
2004-09-01,jodi,crude,INDPROD,kbd,3091,3
2004-10-01,jodi,crude,INDPROD,kbd,3014,3
2004-11-01,jodi,crude,INDPROD,kbd,3110,3
2004-12-01,jodi,crude,INDPROD,kbd,3176,3
2005-01-01,jodi,crude,INDPROD,kbd,3064,3
2005-02-01,jodi,crude,INDPROD,kbd,3100,3
2005-03-01,jodi,crude,INDPROD,kbd,3107,3
2005-04-01,jodi,crude,INDPROD,kbd,3141,3
2005-05-01,jodi,crude,INDPROD,kbd,3173,3
2005-06-01,jodi,crude,INDPROD,kbd,3149,3
2005-07-01,jodi,crude,INDPROD,kbd,3145,3
2005-08-01,jodi,crude,INDPROD,kbd,3154,3
2005-09-01,jodi,crude,INDPROD,kbd,3130,3
2005-10-01,jodi,crude,INDPROD,kbd,3111,3
2005-11-01,jodi,crude,INDPROD,kbd,3124,3
2005-12-01,jodi,crude,INDPROD,kbd,3153,3
2006-01-01,jodi,crude,INDPROD,kbd,3165,3
2006-02-01,jodi,crude,INDPROD,kbd,3160,3
2006-03-01,jodi,crude,INDPROD,kbd,3111,3
2006-04-01,jodi,crude,INDPROD,kbd,3177,3
2006-05-01,jodi,crude,INDPROD,kbd,3127,3
2006-06-01,jodi,crude,INDPROD,kbd,3109,3
2006-07-01,jodi,crude,INDPROD,kbd,3059,3
2006-08-01,jodi,crude,INDPROD,kbd,3063,3
2006-09-01,jodi,crude,INDPROD,kbd,3146,3
2006-10-01,jodi,crude,INDPROD,kbd,3076,3
2006-11-01,jodi,crude,INDPROD,kbd,2979,3
2006-12-01,jodi,crude,INDPROD,kbd,3116,3
2007-01-01,jodi,crude,INDPROD,kbd,3027,3
2007-02-01,jodi,crude,INDPROD,kbd,2951,3
2007-03-01,jodi,crude,INDPROD,kbd,2971,3
2007-04-01,jodi,crude,INDPROD,kbd,2933,3
2007-05-01,jodi,crude,INDPROD,kbd,3008,3
2007-06-01,jodi,crude,INDPROD,kbd,3000,3
2007-07-01,jodi,crude,INDPROD,kbd,2990,3
2007-08-01,jodi,crude,INDPROD,kbd,3095,3
2007-09-01,jodi,crude,INDPROD,kbd,3055,3
2007-10-01,jodi,crude,INDPROD,kbd,3009,3
2007-11-01,jodi,crude,INDPROD,kbd,2700,3
2007-12-01,jodi,crude,INDPROD,kbd,3014,3
2008-01-01,jodi,crude,INDPROD,kbd,2724,3
2008-02-01,jodi,crude,INDPROD,kbd,2874,3
2008-03-01,jodi,crude,INDPROD,kbd,2828,3
2008-04-01,jodi,crude,INDPROD,kbd,2867,3
2008-05-01,jodi,crude,INDPROD,kbd,2905,3
2008-06-01,jodi,crude,INDPROD,kbd,2951,3
2008-07-01,jodi,crude,INDPROD,kbd,2944,3
2008-08-01,jodi,crude,INDPROD,kbd,3037,3
2008-09-01,jodi,crude,INDPROD,kbd,3054,3
2008-10-01,jodi,crude,INDPROD,kbd,3170,3
2008-11-01,jodi,crude,INDPROD,kbd,3081,3
2008-12-01,jodi,crude,INDPROD,kbd,3054,3
2009-01-01,jodi,crude,INDPROD,kbd,2911,3
2009-02-01,jodi,crude,INDPROD,kbd,2888,3
2009-03-01,jodi,crude,INDPROD,kbd,2967,3
2009-04-01,jodi,crude,INDPROD,kbd,2935,3
2009-05-01,jodi,crude,INDPROD,kbd,2918,3
2009-06-01,jodi,crude,INDPROD,kbd,2870,3
2009-07-01,jodi,crude,INDPROD,kbd,2876,3
